school,blackboard
tower,bell
sea,tide
family,marriage
newspaper,interview
sonata,joy
banner,camp
mother,child
insect,caterpillar
river,ship
coast,beach
gun,bullet
blacksmith,metal
home,room
building,hall
rain,flood
avenue,tree
decency,truth
decree,decision
diamond,hardness
result,effect
occupation,doctor
book,story
attack,operation
cat,soul
doll,cradle
episode,happiness
railroad,train
kitchen,pot
landscape,swamp
musician,pianist
factory,production
clothing,scarf
car,headlight
prison,gangster
gale,wind
bouquet,tulip
bottle,toast
group,person
crisis,emergency
girl,engagement
harbor,crane
garden,flowerbed
theater,line
