rider,switch
fire,smoke
animal,fox 
flakes ,rescue 
mission,messenger 
furniture ,chair 
body ,blood 
army ,admiral 
friend ,loyalty 
bird ,lark 
celebration ,alcohol 
reptile ,frog 
grain ,oats 
joint ,knuckle
artist ,painting 
statement ,witness
revolt ,policeman 
alliance ,betrayal 
event,incident
factory ,production 
plant ,leaf 
tenant ,rent 
shop ,commercial 
giant ,club 
trip ,map 
mountain,boulder
ruler ,palace 
play ,drama 
church ,heaven 
university ,semester 
underworld ,death 
instrument ,bagpipes 
glacier ,avalanche 
idea ,proverb 
faith ,renouncement 
theory ,concept 
authority ,state 
fir ,needle 
infection ,bacteria 
circus ,clown 
wedding ,altar 
clock ,gear 
winter,accident 
forest ,maple 
