belief,restraint
uprising,shield
assignment,work
bridge,current
treaty,pact
machine,chain
fleet,deck
thought,saying
face,mask
pad,mark
painter,canvas
music,sheet
farmer,contract
wine,flower
travel,continent
pen,cap
tropics,vaccine
injury,scab
weaver,comb
advertisement,pillar
brake,turn
sports,time
ocean,algae
museum,finding
waterslide,dam
watercolors,gallery
job,butcher
library,signature
energy,oil
earth,element
outcome,achievement
bicycle,generator
bottle,paper
airplane,ketchup
jail,offense
grill,summer
cellar,grate
clothes,fly
shore,dune
laboratory,pipette
force,fight
storm,air
radio,voice
toy,plastic
